policy,run_dir,checkpoint,branch_index,final_cumulative_return,annualized_return,annualized_volatility,max_drawdown,average_turnover,average_constraint_cost,average_allocation_constraint_1_weight,average_allocation_constraint_2_weight,average_allocation_constraint_1_violation_cost,average_allocation_constraint_2_violation_cost,average_allocation_constraint_raw_cost,average_allocation_constraint_cost,average_concentration,maximum_concentration,average_max_single_asset_weight,maximum_single_asset_weight,fraction_steps_single_asset_above_70pct
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.6_ppo_gaussian_ppo_unconstrained_none_20260802_231120\seed_0,neutral_action,0,-0.3451191186904907,-0.3451192079191975,0.16135785789917623,0.4091864228248596,0.0,0.006169034633785486,0.6666666865348816,0.4888889193534851,0.0,0.0,0.0,0.0,0.1787654310464859,0.1787654459476471,0.27407407760620117,0.27407407760620117,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.6_ppo_gaussian_ppo_unconstrained_none_20260802_231120\seed_0,neutral_action,1,-0.009317934513092041,-0.00931826623416876,0.12577568516407056,0.11952340602874756,0.0,0.00025901602930389345,0.6666666865348816,0.4888889193534851,0.0,0.0,0.0,0.0,0.1787654310464859,0.1787654459476471,0.27407407760620117,0.27407407760620117,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.6_ppo_gaussian_ppo_unconstrained_none_20260802_231120\seed_0,neutral_action,2,-0.07227718830108643,-0.07227760237901226,0.12009043913677062,0.1766023188829422,0.0,0.000454884982900694,0.6666666865348816,0.4888889193534851,0.0,0.0,0.0,0.0,0.1787654310464859,0.1787654459476471,0.27407407760620117,0.27407407760620117,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.6_ppo_gaussian_ppo_unconstrained_none_20260802_231120\seed_0,neutral_action,3,0.1607292890548706,0.1607299647884941,0.16029192555205488,0.16551998257637024,0.0,0.0003764444263651967,0.6666666865348816,0.4888889193534851,0.0,0.0,0.0,0.0,0.1787654310464859,0.1787654459476471,0.27407407760620117,0.27407407760620117,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.6_ppo_gaussian_ppo_unconstrained_none_20260802_231120\seed_0,neutral_action,4,-0.0773165225982666,-0.07731627210873826,0.17654204562963893,0.179895281791687,0.0,0.0013861702755093575,0.6666666865348816,0.4888889193534851,0.0,0.0,0.0,0.0,0.1787654310464859,0.1787654459476471,0.27407407760620117,0.27407407760620117,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.6_ppo_gaussian_ppo_unconstrained_none_20260802_231120\seed_0,neutral_action,5,-0.38917869329452515,-0.38917841693813326,0.16059974920286021,0.43527746200561523,0.0,0.003194616874679923,0.6666666865348816,0.4888889193534851,0.0,0.0,0.0,0.0,0.1787654310464859,0.1787654459476471,0.27407407760620117,0.27407407760620117,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.6_ppo_gaussian_ppo_unconstrained_none_20260802_231120\seed_0,neutral_action,6,0.03783130645751953,0.037832260842864285,0.16520184658020212,0.1268414556980133,0.0,0.00024351445608772337,0.6666666865348816,0.4888889193534851,0.0,0.0,0.0,0.0,0.1787654310464859,0.1787654459476471,0.27407407760620117,0.27407407760620117,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.6_ppo_gaussian_ppo_unconstrained_none_20260802_231120\seed_0,neutral_action,7,0.04404342174530029,0.04404317025297355,0.13725003683861703,0.11817288398742676,0.0,0.0002235450956504792,0.6666666865348816,0.4888889193534851,0.0,0.0,0.0,0.0,0.1787654310464859,0.1787654459476471,0.27407407760620117,0.27407407760620117,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.6_ppo_gaussian_ppo_unconstrained_none_20260802_231120\seed_0,neutral_action,8,-0.29806768894195557,-0.29806801725569854,0.13753008081314055,0.29813146591186523,0.0,0.0021794545464217663,0.6666666865348816,0.4888889193534851,0.0,0.0,0.0,0.0,0.1787654310464859,0.1787654459476471,0.27407407760620117,0.27407407760620117,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.6_ppo_gaussian_ppo_unconstrained_none_20260802_231120\seed_0,neutral_action,9,0.053789615631103516,0.05378965699518923,0.09084485639283335,0.06442702561616898,0.0,4.209246253594756e-05,0.6666666865348816,0.4888889193534851,0.0,0.0,0.0,0.0,0.1787654310464859,0.1787654459476471,0.27407407760620117,0.27407407760620117,0.0
